field_id,field_url,code,street,municipality,artificial_grass,stabilized_field,place,car_access,address,latitude,longitude
A12,https://www.abssa.org/terrain/A12,A12 (ARQUENNES),Rue Omer Lion,7181 Arquennes,False,False,Stade Communal A. Plennevaux,"Autoroute E 19 (Bruxelles-Charleroi), sortie Arquennes. Direction Seneffe-La-Louvière. A la station d'essence Total, prendre à droite pendant +/- 700 mètres.
Au rond point, prendre à droite en direction du château de La Rocq, passez sous le pont, le terrain se trouve à 100 mètres (à proximité du cimetière).","Stade Communal A. Plennevaux, Rue Omer Lion, 7181 Arquennes, Belgique",50.5690988,4.2677281
B01,https://www.abssa.org/terrain/B01,B01 (BIERGES),Rue des Combattants,1301 Bierges,False,False,Complexe Sportif J. Colette,"Autoroute Bruxelles-Namur, sortie Bierges, prendre à droite, le terrain se trouve à +/- 500 m. du côté droit.","Complexe Sportif J. Colette, Rue des Combattants, 1301 Bierges, Belgique",50.7113792,4.5897825
B02,https://www.abssa.org/terrain/B02,B02 (BIERGHES-REBECQ),Rue du Sartiau 3B,1430 Bierghes-Rebecq,False,False,,"Autoroute Bruxelles-Charleroi (E19), prendre la sortie Halle-Tournai-Lille (n° 21) pour rejoindre l'autoroute Tournai-Lille, ancienne route A8 (E429). Prendre la sortie Rebecq-Quenast (n° 24). En bas de la sortie, prendre à droite, direction Bierghes. Rouler tout droit jusqu'au premier feu rouge. Tourner à droite en direction de Halle, ensuite la deuxième rue à droite (rue du Sartiau), ensuite à gauche. Le terrain se trouve à 300 m.","Rue du Sartiau 3B, 1430 Bierghes-Rebecq, Belgique",50.6957846,4.129257
B03,https://www.abssa.org/terrain/B03,B03 (BRAINE-L'ALLEUD),Boulevard de l'Europe,1420 Braine - l'Alleud,False,False,Stade Gaston Reiff,"En venant de Bruxelles, emprunter la chaussée de Bruxelles ou de Waterloo jusqu'au magasin ""Carrefour"". Au dit carrefour (Mont-St.-Jean) prendre la direction Nivelles. Sur cette chaussée, au deuxième feu de signalisation, prendre à droite, le terrain se trouve à 500 m. et est fléché.","Stade Gaston Reiff, Boulevard de l'Europe, 1420 Braine - l'Alleud, Belgique",50.6827211,4.3844421
B04,https://www.abssa.org/terrain/B04,B04 (BRAINE-LE-CHATEAU),Rue de Tubize,1440 Braine-Le-Chateau,False,False,E.S. Brainoise,"Autoroute Bruxelles-Mons, sortie Wauthier-Braine, direction Tubize. Le terrain se trouve sur la route de Tubize à droite après la Grande Place de Braine-Le-Chateau.","E.S. Brainoise, Rue de Tubize, 1440 Braine-Le-Chateau, Belgique",50.634104,4.523243
B05,https://www.abssa.org/terrain/B05,B05 (BRUXELLES-HAEREN),Rue de la Paroisse,1130 Haeren,True,False,,"Chaussée de Haecht, vers Diegem. Prendre la rue Harenheyde à gauche, juste au feu de signalisation, après la station ""JET"", situé à gauche. Entrée du stade par la rue Harenheyde, 100 m. au-delà du pont du chemin de fer.","Rue de la Paroisse, 1130 Haeren, Belgique",50.8929668,4.4236193
B06,https://www.abssa.org/terrain/B06,B06 (BRUXELLES-HAEREN),Rue du Biplan,1130 Haeren,False,False,Complexe Sportif de la S.T.I.B.,"Ring Ouest, sortie Brussel-Evere-Zaventem Luchthaven (il n'y a pas de numéro de sortie car l'autoroute continue presque jusque devant l'OTAN) , suivre direction Evere, prendre à droite au 2ème feu de signalisation (Avenue Jules Bordet). Passer le feu de signalisation du croisement avec la chaussée de Haecht. Prendre la 2ème rue à main droite (impossible de continuer tout droit) rue de Verdun et suivre les indications ""Centre Sportif de la STIB - Sportcomplex STIB"" (1ère rue à main droite est la rue du Biplan).
De la Place Meiser-Bld. Léopold III. Au 5ème feu de signalisation (bâtiment I.N.G.) prendre à gauche l' Avenue Bordet et ensuite la 1ère rue à droite après le carrefour de la chaussée d'Haecht.","Complexe Sportif de la S.T.I.B., Rue du Biplan, 1130 Haeren, Belgique",50.8836115,4.4101693
B07,https://www.abssa.org/terrain/B07,B07 (BRUXELLES),Avenue de Bouchout (Atomium),1020 Bruxelles,False,False,Heysel - Annexe 3,"Ring de Bruxelles, Sortie Wemmel, prendre l'Avenue Houba de Strooper, puis la rue à gauche, avant le bâtiment de l'URBSFA, direction Atomium.","Heysel - Annexe 3, Avenue de Bouchout (Atomium), 1020 Bruxelles, Belgique",50.8933845,4.3399807
B08,https://www.abssa.org/terrain/B08,B08 (BRUX.-NEDER OVER HEEMBEEK),Petit Chemin Vert 99,1120 Neder-Over-Heembeek,False,False,,"Pont de Laeken, Chaussée de Vilvorde, vers Neder-Over-Heembeek, prendre l' Avenue des Croix de Guerre jusqu'au rond-point, tout droit Chemin Vert, puis première à gauche, Petit Chemin Vert, terrain à 300 m.","Petit Chemin Vert 99, 1120 Neder-Over-Heembeek, Belgique",50.8998295,4.3935952
B09,https://www.abssa.org/terrain/B09,B09 (BRUX.-NEDER OVER HEEMBEEK),Avenue des Croix de Guerre 3,1120 Neder-Over-Heembeek,False,False,"Complexe du ""Blackstar""","A partir du Pont Van Praet, prendre la Chaussée de Vilvorde et ensuite la première rue à gauche, rue Général Biebuyck, puis première à gauche, Avenue des Croix de Guerre.","Complexe du ""Blackstar"", Avenue des Croix de Guerre 3, 1120 Neder-Over-Heembeek, Belgique",50.8888526,4.380425499999999
B10,https://www.abssa.org/terrain/B10,B10 (BRAINE L'ALLEUD),Chaussé de Mont Saint Jean 83,1420 Braine l'Alleud,False,False,College Cardinal Mercier,"En venant de Bruxelles, emprunter la Chaussée de Bruxelles jusqu'au magasin ""Carrefour de Mont Saint Jean (Mac Donald). Au rond point, prendre la 3ème sortie vers Braine l'Alleud, puis à droite la Chaussée de Mont Saint Jean.","College Cardinal Mercier, Chaussé de Mont Saint Jean 83, 1420 Braine l'Alleud, Belgique",50.6866162,4.3891373
B11,https://www.abssa.org/terrain/B11,B11 (BRAINE-LE-COMTE),Rue du Poseur 39,7090 Braine-Le-Comte,False,False,,"En venant de Bruxelles : Autoroute Tournai - Lille (A8), prendre la sortie n° 24, direction Rebecq, puis la N 6 Bruxelles-Mons en direction de Mons. Entrer dans l'agglomération de Braine-Le-Comte et prendre la 1ère rue à droite, le terrain se situe au bout de la rue.
En venant de Nivelles : Prendre la N533, Nivelles/Braine-Le-Comte. Entrer dans l'agglomération de Braine-Le-Comte et suivre la direction de Bruxelles (N 6 Mons-Bruxelles), prendre la 1ère rue à gauche, le terrain se situe au bout de la rue.","Rue du Poseur 39, 7090 Braine-Le-Comte, Belgique",50.6193857,4.1352085
B12,https://www.abssa.org/terrain/B12,B12 (BOORTMEERBEEK),Sportveldweg 6,3190 Boortmeerbeek,False,False,,"En venant de Bruxelles, prendre l'autoroute E19 en direction d'Anvers. Prendre la sortie Zemst. Au bout de la sortie en haut prendre à droite jusqu'au feu de signalisation. Traverser le carrefour et un peu plus loin à droite suivre le panneau ""Schiplaken"". Suivre cette route jusqu'au carrefour en forme de ""T"". Tourner à droite jusqu'au feu de signalisation, puis prendre à gauche et suivre la panneau ""Sporthall"" (il ne faut pas suivre l'indication du terrain du KRC Boortmeerbeek).","Sportveldweg 6, 3190 Boortmeerbeek, Belgique",50.9830255,4.566536
B13,https://www.abssa.org/terrain/B13,B13 (BEERSEL),Schoolstraat 46,1650 Beersel,False,False,,"A partir du Ring de Bruxelles prendre la E 19 direction Paris.
Quitter le Ring par la sortie 19, prendre à gauche sur Beerselsestraat, après 900 m. prendre à gauche sur Lotsestraat, après 400 m. continuer sur Puttestraat, puis prendre à droite sur Hoogstraat, puis prendre à gauche sur Kerkveldstraat. Après prendre à droite sur Schoolstraat, le terrain se trouve sur la droite.","Schoolstraat 46, 1650 Beersel, Belgique",50.7667417,4.3141412
B14,https://www.abssa.org/terrain/B14,B14 (BEAUVECHAIN),Rue de la Grande Lecke 3,1320 Beauvechain,True,False,,"A partir de Bruxelles, prendre la E 411 en direction de Namur. Prendre la sortie N° 8 puis à droite la bretelle pour la N 25 vers Chaumont-Gistoux / Grez Doiceau / Louvain. Après +/- 6,5 km, au rond-point, prendre la sortie 1 vers la N 420 Chée. de la Libération, puis à gauche dans la rue de la Grande lecke.","Rue de la Grande Lecke 3, 1320 Beauvechain, Belgique",50.7540176,4.7835618
C01,https://www.abssa.org/terrain/C01,C01 (CHASTRE),Rue des Quinze Bonniers,1450 Chastre,False,False,Complexe Sportif des Xv Bonniers,"En venant de Bruxelles, prendre l'autoroute E411 en direction de Namur. Prendre la sortie  ""Corroy-Le-Grand"" (n° 9). Prendre à droite direction Nivelles. Au rond-point prendre à gauche, la N4 en direction de Walhain. Au 3ème feu de signalisation prendre à droite, direction Chastre. Au rond-point, tout droit, direction Chastre. Juste après le pont du chemin de fer prendre à droite en direction de Villeroux. Traverser tout le village de Chastre. Le complexe se trouve à la sortie du village, sur la droite et est fléché.","Complexe Sportif des Xv Bonniers, Rue des Quinze Bonniers, 1450 Chastre, Belgique",50.6025605,4.6190988
C02,https://www.abssa.org/terrain/C02,C02 (COURT ST. ETIENNE),Avenue des Combattants,1490 Court St. Etienne,True,False,,"Ring ouest: Direction Waterloo, prendre la sortie ""butte du lion"" , prendre à droite, puis au feu rouge prendre à droite, rouler jusque Genappe et prendre la RN 25 en direction de Wavre, prendre la deuxième sortie (Court St. Etienne) et prendre à gauche, le terrain se trouve à 1 km. a main droite.
Par la E411: Prendre la E411 direction Namur, ensuite sortir a Wavre, prendre ensuite la sortie Villers-La-Ville, ensuite à droite puis directement à gauche a l'arbre et descendre jusque dans le fond, prendre a droite et le terrain se trouve à 500 m. a main gauche.","Avenue des Combattants, 1490 Court St. Etienne, Belgique",50.6343528,4.5383633
C03,https://www.abssa.org/terrain/C03,C03 (CHAUMONT-GISTOUX),Avenue du Ronvau 8,1325 Chaumont-Gistoux,False,False,Complexe Sportif du Ronvau,"Par la E411, Sortie ! ""Louvranges"", direction Louvain - Grez Doiceau - Chaumont-Gistoux,
continuer sur la N25, prendre la sortie en direction de Wavre - Perwez - Chaumont-Gistoux,
prendre à droite la 243 (+/- 4 km.), traverser Chaumont-Gistoux, prendre à gauche la rue de Wavre (devant le café de la Poste), continuer sur la rue Colleau, ensuite la rue du Pont des Brebis. Arrivée avenue du Ronvou.","Complexe Sportif du Ronvau, Avenue du Ronvau 8, 1325 Chaumont-Gistoux, Belgique",50.6857538,4.713828299999999
D01,https://www.abssa.org/terrain/D01,D01 (DROGENBOS),Rue au Bois,1620 Drogenbos,False,False,Stade Communal de Drogenbos,"Prendre l'Autoroute ou le ring Bruxelles-Mons-Paris, sortie Drogenbos. Prendre direction Drogenbos-Centre, passer devant la Maison Communale et le terminus du tram, ensuite à la 3ème rue tourner à main droite (Le terrain se trouve au bout de la rue au Bois).","Stade Communal de Drogenbos, Rue au Bois, 1620 Drogenbos, Belgique",50.7815004,4.3192086
E02,https://www.abssa.org/terrain/E02,E02 (ENGHIEN),Rue Saint Quentin,7850 Enghien,False,False,R. Enghien Sport (Parc),"Prendre la E429 (Lille-Tournai-Ath) à hauteur de Halle. Prendre la sortie Petit-Enghien-Hoves (25), prendre à droite, direction  Petit-Enghien. Au bout de la route prendre à gauche, direction Enghien. Arrivé à Enghien, prendre la 2ème rue à gauche, suivre le panneau ""Auberge du Vieux Cèdre"".","R. Enghien Sport (Parc), Rue Saint Quentin, 7850 Enghien, Belgique",50.6970878,4.0470023
E04,https://www.abssa.org/terrain/E04,E04 (ETTERBEEK),Rue Baron Dhanis,1040 Etterbeek,True,False,,"De la Place Meiser, remonter tous les boulevards. Au carrefour de la Chaussée de Wavre, prendre celle-ci à droite, ensuite la 2ème rue à droite (Rue Général Fivé), puis la 3ème à droite (rue Baron Dhanis).","Rue Baron Dhanis, 1040 Etterbeek, Belgique",50.8287714,4.3975708
E07,https://www.abssa.org/terrain/E07,E07 (EVERE),Avenue des Anciens Combattants 300,1140 Evere,False,False,Complexe Sportif Evere,"Boulevard Lambermont, prendre le boulevard Léopold III, direction aéroport de Bruxelles-National, au 3ème feu de signalisation prendre à droite. le terrain se trouve à 50 m.","Complexe Sportif Evere, Avenue des Anciens Combattants 300, 1140 Evere, Belgique",50.8691981,4.4067073
E08,https://www.abssa.org/terrain/E08,E08 (EVERE),Rue de Picardie,1140 Evere,False,False,Parc St. Vincent (Bon Pasteur),Le terrain se trouve derrière l'église St. Vincent,"Parc St. Vincent (Bon Pasteur), Rue de Picardie, 1140 Evere, Belgique",50.8786351,4.3949376
E10,https://www.abssa.org/terrain/E10,E10 (EVERE),Avenue des Communautés,1140 Evere,False,False,Stade Communal G. Petre,"Prendre la chaussée de Louvain, Place Meiser, Place de Paduwa, prendre ensuite la 2ème rue à droite, l' Avenue des Communautés, l'entrée au terrain est situé à 100 m.","Stade Communal G. Petre, Avenue des Communautés, 1140 Evere, Belgique",50.8582632,4.4251766
F01,https://www.abssa.org/terrain/F01,F01 (FOREST),Av. de la 2ème Armée Britannique,1190 Forest,False,False,Complexe Sportif du Bempt,"Au départ de la Place St. Denis à Forest prendre la chaussée de Neerstalle jusqu'à la rue de la Soierie (4ème rue à droite) et dans la rue de la Soierie rouler env. 100 m. puis 1ère à gauche (Bld. de la 2ème Armée Britannique) pendant env. 500 m. L'entrée du Complexe se trouve à hauteur de City Cart, à gauche de la route.","Complexe Sportif du Bempt, Av. de la 2ème Armée Britannique, 1190 Forest, Belgique",50.8005447,4.3095283
G01,https://www.abssa.org/terrain/G01,G01 (GENVAL),Rue du Tilleul 50,1332 Genval (Rixensart),False,False,Complexe du Tilleul,"Prendre l'autoroute de Namur (E411), sortie n° 4 - (Genval-Rosières). En bas de la sortie prendre la deuxième rue à droite (rue de La Hulpe) direction ""Genval - Maubroux"". Au premier rond point continuez à suivre la direction ""Genval - Maubroux"" (continuation de la rue de La Hulpe). Au rond point suivant, suivre toujours la direction ""Genval-Maubroux"". Au troisième rond point (Café du Lac sur la gauche) suivre toujours la direction ""Genval-Maubroux"" (3ème sortie - rue de Genval). Continuez tout droit jusqu'au feu de signalisation (Eglise de Genval) et tourner à droite (Avenue Albert 1èr). Après +/- 800 mètres, à l'ancienne station service, prendre à gauche et suivre la route (rue Joseph Desmet) sur +/- 700 mètres, puis tourner à droite, rue du Tilleul (panneau : Les Charmettes). Le terrain se trouve à environ 200 mètres sur la droite.","Complexe du Tilleul, Rue du Tilleul 50, 1332 Genval (Rixensart), Belgique",50.724554,4.496792999999999
G02,https://www.abssa.org/terrain/G02,G02 (GENAPPE),Rue de Ways 117,1470 Genappe,False,False,,"En venant de Waterloo, prendre la sortie Genappe (n° 25) prendre la N5 (Bruxelles-Charleroi) en direction de Charleroi pendant +/- 10 km. Après la station Total, au feu de signalisation, prendre à droite vers le centre de Genappe. Au 1èr feu de signalisation prendre à gauche la N237 direction Ottignies-Wavre. Après env. 300 m. et au bas de la descente prendre le petit chemin à droite.
Via Nivelles, prendre la sortie d'autoroute Nivelles-Sud (n° 19) et suivre la direction Wavre, sur la RN25 (sortie Genappe), prendre vers Genappe. Après 1500 m. prendre à gauche la N237 direction Ottignies-Wavre. Après env. 300 m. et en bas de la descente prendre le petit chemin à droite.","Rue de Ways 117, 1470 Genappe, Belgique",50.6113021,4.455930599999999
G03,https://www.abssa.org/terrain/G03,G03 (GANSHOREN),Rue A. Roobaert,1083 Ganshoren,True,False,,"Par la ville. A partir de la Basilique de Koekelberg, prendre l'Avenue Charles Quint, prendre 3ème rue à droite, Avenue de Villegas. Arrivé au rond point prendre la 3ème sortie et  continuer sur l'avenue Marie de Hongrie. Prendre ensuite la première à droite, l'avenue des Neuf Provinces. Au 2ème rond point, prendre la première sortie, rue Vanderveken. Un parking est accessible dans la première rue à gauche. (Indication Hall des Sports).
Par le ring. En sortant du ring à Koekelberg, prendre l'avenue Charles Quint. Au 3ème feu, prendre à gauche sur la place Marguerite d'Autriche. Prendre la 1ère rue à droite et rester sur l'avenue Marie de Hongrie. Ensuite suivre comme ci-dessus.","Rue A. Roobaert, 1083 Ganshoren, Belgique",50.876279,4.3026291
G04,https://www.abssa.org/terrain/G04,G04 (GREZ-DOICEAU),Rue du Stampia,1390 Grez-Doiceau,False,False,,Autoroute Bruxelles-Namur (E411) prendre la sortie Louvain/Grez-Doiceau (n° 8). Prendre la RN25 en direction de Louvain/Grez-Doiceau. Passer tout droit les deux premiers ronds-points à l'issue de la RN 25. Au troisième rond-point prendre à droite. Le terrain se trouve 150 m. plus loin à gauche de la rue du Stampia.,"Rue du Stampia, 1390 Grez-Doiceau, Belgique",50.744789,4.6969702
H01,https://www.abssa.org/terrain/H01,H01 (HEVILLERS),Rue des Tilleuls 60,1435 Hévillers,False,False,,"Autoroute Bruxelles/Namur (E411), sortie n° 9, prendre à droite jusqu'au rond-point. Puis prendre à gauche, direction Gembloux/Chastre/Corbais, jusqu'au 1èr feu de signalisation. Prendre ensuite à droite jusqu'au chemin de fer, tourner à gauche, emprunter le tunnel, puis continuer tout droit jusqu'au terrain de O.N.E., +/- 500 m. ce qui est en face du n° 87","Rue des Tilleuls 60, 1435 Hévillers, Belgique",50.6289372,4.6165053
H03,https://www.abssa.org/terrain/H03,H03 (HOFSTADE),Ossebeemden,1981 Hofstade,False,False,Verbroedering Hofstade,"A partir de l'E19 Bruxelles-Antwerpen (Sortie 11 Zemst-Weerde-Hofstade) prendre à droite la Robert Schumanlaan. Au premier feu de signalisation, prendre à gauche la Tervuursesteenweg (N227) jusqu'à l'église de Hofstade (+/- 1,7 km.) Continuez encore 200 m. puis tourner à gauche au café Hoekske. Vous roulez sur la Zemstsesteenweg. Après 200 m. prendre la deuxième à droite (au café de Sportvriend) la Ossebeemden, vous verrez le parking un peu plus loin.","Verbroedering Hofstade, Ossebeemden, 1981 Hofstade, Belgique",50.9917373,4.4873981
H04,https://www.abssa.org/terrain/H04,H04 (HOUTAIN-LE-VAL),Rue de Ninove 1,1476 Houtain-Le-Val,False,False,,"Venant de Bruxelles prendre le Ring Ouest, sortie Genappe (n°25), prendre à droite sur la N 5 (Bruxelles-Charleroi) direction Charleroi pendant +/- 10 min. Prendre à gauche au carrefour entre la N 5 et la N 93 direction Nivelles. Dans le village, prendre à gauche au carrefour en direction de la rue des Ecoles. une centaine de mètres plus loin, prendre immédiatement à droite en direction de la rue du Béguinage et ensuite prendre imméeiatement à gauche en direction de la rue du Pavillon. Suivre cette rue jusqu'au ""T"" formé par la rue du Pavillon et la rue de Ninove. Au ""T"" prendre à gauche. Le terrain de football se situe à une centaine de mètres sur le côté droit.","Rue de Ninove 1, 1476 Houtain-Le-Val, Belgique",50.57463749999999,4.4089379
I01,https://www.abssa.org/terrain/I01,I01 (ITTRE),Rue J. Jolly (Impasse),1460 Ittre,False,False,J.S. Ittroise,"Autoroute Bruxelles-Paris prendre la sortie Ittre, direction Centre. En partant de la Grande Place (Eglise) prendre la rue Basse. Après 100 m. tourner à gauche (rue Neuve) après 100 m. tourner à gauche, (rue de l'Ecole) pour arriver à la Rue J. Jolly.","J.S. Ittroise, Rue J. Jolly (Impasse), 1460 Ittre, Belgique",50.6490595,4.2702792
I02,https://www.abssa.org/terrain/I02,I02 (IXELLES),Rue Volta 18,1050 Ixelles,True,False,Stade A. Demuyter,"Avenue de la Couronne jusqu'au cimetière d'Ixelles, suivre les plaques ""Stade A. Demuyter"".","Stade A. Demuyter, Rue Volta 18, 1050 Ixelles, Belgique",50.8134117,4.3956336
I03,https://www.abssa.org/terrain/I03,I03 (INCOURT),Rue de la Bruyère,1315 Incourt,False,False,Incourt,"En venant de Bruxelles, prendre l’E411 en direction de Namur et prendre la sortie 11 Perwez-Gembloux, prendre à droite vers Perwez sur la N29 jusqu’au rond-point de Glimes qui croise la N91 (7km depuis l’E411). Sortir à la 3ème sortie sur la N91 en
direction de Hamme-Mille. Prendre ensuite la 3ème rue à gauche et le terrain se trouve directement sur la droite.","Incourt, Rue de la Bruyère, 1315 Incourt, Belgique",50.6849677,4.8070879
J01,https://www.abssa.org/terrain/J01,J01 (JETTE),Avenue J.J. Crocq,1090 Jette,False,False,Complexe Sportif du Heymbosch,"Direction cimetière de Jette, ensuite prendre la rue du ""Sacré-Coeur"" jusqu'au bout, puis tout droit, avenue J.J. Crocq. Le terrain se trouve à gauche.","Complexe Sportif du Heymbosch, Avenue J.J. Crocq, 1090 Jette, Belgique",50.8868564,4.3286963
J02,https://www.abssa.org/terrain/J02,J02 (RSD JETTE (COMPLEXE EXPO),Avenue de l'Exposition 257,1090 Jette,False,False,,"Ring de Bruxelles, sortie 9 Jette.
En venant de Zaventem, prendre à gauche à la sortie, en venant de Charleroi prendre à droite. Au feu rouge continuer sur +/- 1 km jusqu'au rond point. Le terrain se trouve en face de la pompe à essence Q8.","Avenue de l'Exposition 257, 1090 Jette, Belgique",50.8832985,4.3163697
K02,https://www.abssa.org/terrain/K02,K02 (KRAAINEM),Bosstraat,1950 Kraainem,False,False,,"Au départ de la Place Meiser, l'autoroute Bruxelles-Liège (E40), prendre la sortie Kraainem (n° 2). Sous le viaduc prendre à droite, l'avenue des Anciens Combattants. Juste après le carrefour avec des feux de signalisation prendre à droite vers la Place de la Chapelle, puis prendre la 4ème rue à main droite (rue au Bois). Le terrain se trouve à 300 m. sur la droite.","Bosstraat, 1950 Kraainem, Belgique",50.8588843,4.4603439
K03,https://www.abssa.org/terrain/K03,K03 (KONINGSLO),Streekbaan 1,1800 Koningslo,False,False,,"Par le Ring, Sortie n° 6 (Koningsloo), prendre l'avenue de Tyras (vers l'Hopital militaire). Prendre directement à droite l'Indringersweg. Après 1 km, la Streekbaan est à droite. Le terrain se trouve au début de la rue, à gauche (FC Koningslo)","Streekbaan 1, 1800 Koningslo, Belgique",50.9043321,4.3807909
L01,https://www.abssa.org/terrain/L01,L01 (LOUPOIGNE),Route du sucre 1,1471 Loupoigne,False,False,Stade J.C. Flamend,"Venant de Bruxelles prendre le Ring Ouest, sortie Genappe (n° 25), prendre à droite sur la N5 (Bruxelles-Charleroi) direction Charleroi pendant +/- 10 min., sortie Loupoigne, traverser le carrefour, tout droit direction route du sucre.","Stade J.C. Flamend, Route du sucre 1, 1471 Loupoigne, Belgique",50.6007528,4.4472782
L02,https://www.abssa.org/terrain/L02,L02 (LEUVEN KESSEL-LO),Diestsesteenweg 288 B,3010 Leuven Kessel-Lo,True,False,Boudewijnstadion,"En partant de la gare de Louvain prendre la Diestsepoort. A la fin de la rue prendre à droite la Diestsesteenweg, après +/- 1 km prendre à droite l'avenue Rerum Novarum, puis prendre la Stadionlaan (deuxième rue à droite). Le complexe sportif se trouve à droite.","Boudewijnstadion, Diestsesteenweg 288 B, 3010 Leuven Kessel-Lo, Belgique",50.8847332,4.7312759
